program_name_en,category,program_id,university
"MSc Clinical Child, Family and Education Studies",社会学与社工,4ca1ebcf-321d-4d15-84d5-22c50e2baebb,Utrecht University
MA Conflict Studies and Human Rights,社会学与社工,29d718e9-9bc2-46a7-be28-aad762ff9047,Utrecht University
MSc Cultural Anthropology: Sustainable Citizenship,社会学与社工,bb1f250c-8739-47a4-9523-319b2f0f9b41,Utrecht University
MA Global Criminology,社会学与社工,4119365c-6063-4f75-b258-452bcb1ff473,Utrecht University
MA History of Politics and Society,社会学与社工,54a2df22-4052-452c-a577-4985fde4299f,Utrecht University
MSc Sociology: Contemporary Social Problems,社会学与社工,020e5fde-0cb3-4e2b-b40d-42dbda9ba0ff,Utrecht University
MSc Sociology of Policy in Practice,社会学与社工,a3c7d485-c417-4abf-887d-6d8e2e1d2550,Leiden University
Master of Social Work,社会学与社工,f44236ef-1c25-4ec3-a793-c19eaef6884d,Royal Melbourne Institute of Technology
Master of Justice and Criminology,社会学与社工,8d096834-629c-42f6-bc0a-2df078400f71,Royal Melbourne Institute of Technology
"MSc International Development, Social Justice and Sustainability",社会学与社工,ecd6c781-166e-410b-b217-318287d39824,University of Bath
MSc Criminology,社会学与社工,296267c0-9481-480a-837e-0520b9c51c61,University of Bath
Master of Social Work,社会学与社工,b958cc82-740d-4e16-9120-806ebcc1c623,University of Science Malaysia
Master of Social Sciences in Islamic-Based Development Management,社会学与社工,a8a4a60a-de46-4b62-afe4-1968877e5983,University of Science Malaysia
MA Human Geography Research,社会学与社工,869a3e28-0549-4624-a994-8676db8bcd06,Newcastle University(United Kingdom)
MA Sociology,社会学与社工,81a3cf00-6026-4cd3-93b7-d4f737403354,Newcastle University(United Kingdom)
MA Sociology and Social Research,社会学与社工,f5243b3f-fd5f-4ecd-8923-f6c4318cdeae,Newcastle University(United Kingdom)
Master of Criminology,社会学与社工,15ff8627-a320-4e77-89ca-e70d9f610c0d,Macquarie University
Master of Social Work,社会学与社工,669b0cdb-5632-482c-9ce9-edaf6738280d,University of North Carolina at Chapel Hill
MS in Sociology,社会学与社工,dcc8483b-6f27-4f19-8710-5f423e0c4dab,Texas A&M University
Master of Social Work,社会学与社工,4f031e5a-cdcc-4cff-b0b5-2751b8316af0,University of Southern California
MA Social Research Methods,社会学与社工,0935d5eb-6132-4cee-bacc-fc6006a1e48e,University of Liverpool
MSc Population Studies,社会学与社工,2f176c77-6ccf-48b1-a16d-dc52812da5ca,University of Groningen
Double Degree MSc Social Demography (University Pompeu Fabra- Groningen),社会学与社工,cdabd45a-1e1a-4604-86da-f60477fba3bb,University of Groningen
Double Degree MSc Demography and Social Inequality (Cologne-Groningen),社会学与社工,47dc5383-09b4-4778-9038-0db9604cd987,University of Groningen
"MA Health, Cultures and Societies",社会学与社工,5e7427c1-905f-47e7-9eaa-e829b0776a8a,University of Liverpool
MA Criminology and Criminal Justice,社会学与社工,e128952d-858d-487f-a268-65aac6f7ccf4,University of Liverpool
MA Society and Culture,社会学与社工,e9c61ee8-70e2-4e01-83e8-b25159924ce7,University of Exeter
MA Society and Culture (Science and Technology),社会学与社工,f904e6ab-ce08-4eef-85da-c4cbe718e792,University of Exeter
"MA Society and Culture (Meaning, Making, Consuming)",社会学与社工,a45759c9-9253-48db-84af-744093ed6845,University of Exeter
MA Cultures and Environments of Health (Medical History and Humanities),社会学与社工,6cc2448d-8cbd-4c86-a76a-fa1b344dbdea,University of Exeter
"MA Environment, Culture and Society",社会学与社工,24542398-7878-4e84-b7cc-34c84bee3918,Lancaster University
MA Social Research,社会学与社工,1070742c-04be-403c-8e2f-0a2f1067fa21,Lancaster University
MA Sociology,社会学与社工,65195490-5b11-447f-95af-8b486e1c9791,Lancaster University
MSc Criminal Justice and Social Research Methods,社会学与社工,5509629b-395f-4cb0-8944-15e2723be9c3,Lancaster University
LLM Criminology and Criminal Justice,社会学与社工,6a627009-1278-4697-8ab9-43bf05c6ab10,Lancaster University
MSc Criminology and Social Research Methods,社会学与社工,b56015c2-aee1-40bd-a28e-016565b2c316,Lancaster University
MA Criminology and Criminal Justice,社会学与社工,ebaf747e-5077-4a9e-a6c4-07c087ab243a,Lancaster University
MA Global Medical and Health Humanities,社会学与社工,41631859-3b73-4634-8d36-da75c29bb937,Lancaster University
MA Anthropology,社会学与社工,879c871d-8bc3-4cae-bb6d-c3d0974ea1e3,University of Basel
MA in Sociology,社会学与社工,56070634-fe26-4d91-a414-672882004787,Michigan State University
