大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,专业类别
"University of California, San Diego",PHD,Machine Learning and Data Science ,工程学院,Jacobs School of Engineering,https://www.ece.ucsd.edu/graduate/graduate-admissions,https://www.ece.ucsd.edu/graduate/information-new-ece-graduate-students,https://jacobsschool.ucsd.edu,
University of Southern California,PhD,Business Administration( Data Sciences & Operations),商学院,USC Marshall School of Business,https://www.marshall.usc.edu/programs/graduate-programs/phd-program/admissions,https://www.marshall.usc.edu/programs/graduate-programs/phd-program/data-sciences-operations,https://www.marshall.usc.edu,
University of Southern California,M.S.,Computer Science (Data Science),工程学院,USC Viterbi School of Engineering,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-data-science/,https://viterbi.usc.edu,
University of Southern California,M.S.,Computer Science (Data Science),工程学院,USC Viterbi School of Engineering,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-data-science/,https://viterbi.usc.edu,
University of Southern California,M.S.,Applied Data Science,工程学院,USC Viterbi School of Engineering,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-applied-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-applied-data-science/,https://viterbi.usc.edu,
University of Southern California,M.S.,Applied Data Science,工程学院,USC Viterbi School of Engineering,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-applied-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-applied-data-science/,https://viterbi.usc.edu,
University of Southern California,M.S.,ECE-Machine Learning and Data Science,工程学院,USC Viterbi School of Engineering,https://viterbigradadmission.usc.edu/programs/masters/msprograms/electrical-computer-engineering/ms-in-electrical-and-computer-engineering-machine-learning-and-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/electrical-computer-engineering/ms-in-electrical-and-computer-engineering-machine-learning-and-data-science/,https://viterbischool.usc.edu,
University of Southern California,M.S.,ECE-Machine Learning and Data Science,工程学院,USC Viterbi School of Engineering,https://viterbigradadmission.usc.edu/programs/masters/msprograms/electrical-computer-engineering/ms-in-electrical-and-computer-engineering-machine-learning-and-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/electrical-computer-engineering/ms-in-electrical-and-computer-engineering-machine-learning-and-data-science/,https://viterbischool.usc.edu/,
University of Southern California,M.S.,Analytics,工程学院,USC Viterbi School of Engineering,https://viterbigradadmission.usc.edu/programs/masters/msprograms/industrial-systems-engineering/ms-analytics/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/industrial-systems-engineering/ms-analytics/,https://viterbischool.usc.edu,
University of Southern California,M.S.,Analytics,工程学院,USC Viterbi School of Engineering,https://viterbigradadmission.usc.edu/programs/masters/msprograms/industrial-systems-engineering/ms-analytics/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/industrial-systems-engineering/ms-analytics/,https://viterbischool.usc.edu,
