大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,所属院系网址
Tulane University,MA,Political Economy with Data Analytics,文学院,,https://liberalarts.tulane.edu/academics/graduate-studies/prospective-students,https://catalog.tulane.edu/liberal-arts/interdisciplinary-programs-coordinate-majors/political-economy/data-analytics-ma/#overviewtext,,
"University at Buffalo, SUNY",MS,Data Analysis in the Social Sciences MS,文理学院,,https://arts-sciences.buffalo.edu/college/departments-and-programs/social-sciences/data-analytics-social-sciences/ms-dass.html,https://arts-sciences.buffalo.edu/college/departments-and-programs/social-sciences/data-analytics-social-sciences.html,,
"University at Buffalo, SUNY",MS,Data Analysis in the Social Sciences MS,文理学院,,https://arts-sciences.buffalo.edu/college/departments-and-programs/social-sciences/data-analytics-social-sciences/ms-dass.html,https://arts-sciences.buffalo.edu/college/departments-and-programs/social-sciences/data-analytics-social-sciences.html,,
"University at Buffalo, SUNY",MS,Materials Design and Innovation MS,工程与应用科学学院,,https://engineering.buffalo.edu/materials-design-innovation/education/graduate.html,https://engineering.buffalo.edu/materials-design-innovation/education/graduate.html,,
"University at Buffalo, SUNY",PhD,Materials Design and Innovation PhD,工程与应用科学学院,,https://engineering.buffalo.edu/materials-design-innovation/education/graduate.html,https://engineering.buffalo.edu/materials-design-innovation/education/graduate.html,,
University of Delaware,MS ,Master of Science in Bioinformatics Data Science ,农业与自然资源学院,,https://bioinformatics.udel.edu/education/prospective-students/,https://bioinformatics.udel.edu/education/degrees/bicb-ms/,,
University of Delaware,MS ,Master of Science in Bioinformatics Data Science ,农业与自然资源学院,,https://bioinformatics.udel.edu/education/prospective-students/,https://bioinformatics.udel.edu/education/degrees/bicb-ms/,,
University of Delaware,PhD,Bioinformatics Data Science,农业与自然资源学院,,https://bioinformatics.udel.edu/education/prospective-students/,https://bioinformatics.udel.edu/education/degrees/binf-phd/,,
University of Delaware,PhD,Bioinformatics Data Science,农业与自然资源学院,,https://bioinformatics.udel.edu/education/prospective-students/,https://bioinformatics.udel.edu/education/degrees/binf-phd/,,
Clemson University,PhD,Biomedical Data Science and Informatics,工程，计算机和应用科学学院,,https://www.clemson.edu/degrees/biomedical-data-science-informatics/grad,https://computing.clemson.edu/bdsi/,,
Clemson University,MS,Biomedical Data Science and Informatics,工程，计算机和应用科学学院,,https://www.clemson.edu/degrees/biomedical-data-science-informatics/grad,https://computing.clemson.edu/bdsi/,,
Marquette University,MS,Criminal Justice Data Analytics ,文理学院,,https://www.marquette.edu/grad/programs-criminal-justice-data-analytics.php,https://www.marquette.edu/grad/programs-criminal-justice-data-analytics.php,,
Marquette University,MS,Criminal Justice Data Analytics ,文理学院,,https://www.marquette.edu/grad/programs-criminal-justice-data-analytics.php,https://www.marquette.edu/grad/programs-criminal-justice-data-analytics.php,,
Temple University,PSM,Bioinformatics and Biological Data Science PSM,科学技术学院,,https://www.temple.edu/academics/degree-programs/bioinformatics-psm-st-binf-psm/how-to-apply,https://www.temple.edu/academics/degree-programs/bioinformatics-psm-st-binf-psm,,
University of Oregon,MS,Education Policy and Leadership,教育学院,,https://education.uoregon.edu/epol/apply,https://education.uoregon.edu/epol/graduate/ms,,
Illinois Institute of Technology,M.S.,Master of Science in Biomedical Modeling and Data Science,工程学院,,https://www.iit.edu/admissions-aid/graduate-admission/international-students,https://www.iit.edu/academics/programs/master-science-biomedical-modeling-and-data-science,,
University of Arizona,MS,Agricultural & Resource Econ (MS) - Applied Econometrics and Data Analytics,农业与生命科学学院,,https://grad.arizona.edu/catalog/programinfo/ARECMSAEDA,https://economics.arizona.edu/graduate/ms-applied-econometrics-data-analytics,,
